22/12/2023 00:10:36;00000001;BSN-001;978729;JV-297;BSN;vip 1;01/01/2001;v1@gmail.com;010101010101;Nha Trang
22/12/2023 00:10:36;00000001;BSN-002;978729;JV-297;BSN;vip 2;02/02/2002;v2@gmail.com;020202020202;Nha Trang
22/12/2023 00:12:17;00000002;ECO-002;978729;EI-439;ECO;Khach 2;12/12/2012;k2@gmail.com;09226626262;cho 2
22/12/2023 02:08:04;00000004;BSN-005;978729;JV-297;BSN;Năm Cự;05/01/1998;5ber1@gmail.com;0510510510;Long An
12/22/2023 07:13:12;00000006;BSN-001;314876;EI-439;BSN;Nguyễn Đình Hiệu;02/02/2002;hieu@gmail.com;0999999999;Đắk Lắk
12/22/2023 07:13:12;00000006;BSN-002;314876;EI-439;BSN;Lê Thanh Thản;03/04/2003;th@gmail.com;0999999999;Kon Tum
24/12/2023 13:18:37;40848956;BSN-006;326281;JV-297;BSN;Nguyễn Thảo Linh;02/02/2000;tlink@gmail.com;0989876656;Hà Nội
24/12/2023 13:18:37;40848956;BSN-007;326281;JV-297;BSN;Phạm Nam Hải;03/07/1999;wrd@gmail.com;0981234231;Hà Nội
24/12/2023 13:32:05;67404337;BSN-008;326281;JV-297;BSN;Nguyễn Hoàng Long;02/02/2003;mck@gmail.com;0987675656;Hà Nội
24/12/2023 13:32:05;67404337;BSN-009;326281;JV-297;BSN;Roonbongz;02/02/1999;ron@gmail.com;0989876568;Hà Nội
24/12/2023 14:57:33;66836393;BSN-002;314876;NM-451;BSN;Hari Won;02/02/1988;hariwon@gmail.com;0998985237;Seul
24/12/2023 15:06:23;43180512;BSN-001;314876;CB-192;BSN;David Batman;02/02/1987;bat@gmail.com;0989876767;New York
24/12/2023 15:06:23;43180512;BSN-002;314876;CB-192;BSN;Liu Grace;02/06/1999;liugrace@gmail.com;0986543338;Tp. Hồ Chí Minh
24/12/2023 15:06:23;43180512;BSN-005;314876;CB-192;BSN;Vsoul;12/08/1997;vsoul@dcod.com;0984562222;Bình Phước
24/12/2023 15:06:23;43180512;BSN-006;314876;CB-192;BSN;Sol7;30/04/1999;sol7@dcod.com;0876567867;Bình Định
29/12/2023 15:03:19;40886430;BSN-003;978729;CB-192;BSN;Hai Lam;15/08/2003;test@a.com;098766222;Nha Trang
29/12/2023 15:38:16;67139110;BSN-004;000012;CB-192;BSN;test2;02/02/2012;test2@gmail.com;09181818282;Cam Ranh
29/12/2023 15:55:34;95264832;BSN-007;000012;CB-192;BSN;test 3;03/03/2003;t@t.com;09877544241;Đăk Lăk
